სახელი,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
გაბრიელი გივი,,,,,,,,,1,
გაბრიელი დავითისძე,,,,,,,,,1,
გაბრიელი ზაზა,,,,,,,1,,,
გაბრიელი ტატო,,,,1,,,,,,
გაბრიელი ქენან,,,,,,,1,,,
გაბრიელ-იაგო,,,,,,,,1,,
გაბრიელი–გიორგი,,,1,,,,,,,
გაბრიელ-კახაბერ,,1,,,,,,,,
გაბრიელლა,,,,,,2,,,,
გაბრიელ-ნიკოლოზი,,,,,,,,1,,
გაბრიელ–შოთა,,1,,,,,,,,
გაბრიელ-ჯუბო,,,,,,,,,,1
გაბრო,1,,2,,,,,,,
გაბულ,1,,,,,,,,,
გაბუშ,,,,,,,,1,,
გაგა,42,48,56,44,35,46,32,25,34,16
გაგარინ,,,,,,,,,,1
გაგაშ,,,,,,,,1,,
გაგი,9,8,11,13,16,13,7,5,9,7
გაგი ილია,,,,,,1,,,,
გაგიკ,3,3,3,4,2,2,5,2,2,5
გაგიქ,,,,,1,,,,,
გაგნა,,,1,,,,,,,
გაგო,2,1,1,1,,,,,,
გაგუ,,,,,,,,1,,
გადდაფი,,,,,1,,,,,
გადიმ,,1,,,1,,,,2,
გადირ,1,1,1,1,1,,1,,3,2
გადირ მაგამედ,,,1,,,,,,,
გადრიკ ითან,,,,,,,,,,1
გავრიილ,,,,,,,1,,,
გაზანფარ,,,,,,1,,,,
გაზანფარა,,,,1,,,,,,
გათიბა,,,1,,,1,,,,
გათირა,1,,,,,,,,,
გაი,,,,,,,1,1,1,1
გაია,,,,,,1,1,,,1
გაიანა,,,,,,,,,,1
გაიანე,5,9,8,10,9,8,9,6,9,6
გაითან,,,,1,,,,,,
გაიივ,,,,,,,,,1,
გაიკ,,,,,,,1,,,
გაინე,,,,1,,,,,,
გაიოზ,,2,,2,2,,1,1,1,1
გაიოზ ირაკლი,1,,,,,,,,,
გაიოზი,,,1,1,,,,,,
გაიპგული,,,,,1,,,,,
გაისარ,,,,,,1,,,,
გაიჰ,,,,,,,1,,,
გალ,,,,,,,1,2,,2
გალა,1,,,1,,,1,,,
გალაკტიონ,,,,,,,,,,1
გალამზარ,2,2,,1,3,1,6,,2,
გალანდარ,,1,1,,,,,,,
გალაქტიონ,,1,,1,1,1,,,,
გალაქტიონი,,,1,,2,2,1,,,
გალი,,,1,,,,,,,1
გალია,2,1,4,1,2,1,,1,,4
გალიბ,4,4,2,2,1,1,4,1,,
გალინა,4,2,3,3,3,3,2,3,1,
გალიფ,,,1,,1,,3,,,
გალლი,,,,,,,,,,1
გალუსტ,2,,1,2,3,1,2,,,1
გამაია,,,1,,,,,,,
გამარ,1,,1,,,,,,,
გამარი,,,1,,,,,,,
გამბარ,1,,1,1,2,,2,1,,1
გამზა,2,,1,1,1,1,3,,,1
გამზე,,,2,,,1,1,,,1
გამიდ,,2,1,,1,,1,,,
გამით,,,,,,,,1,,
გამილ,,,,,,,,,,1
გამილა,,,,,,,1,,,
გამლეტ,2,1,,,,,,,,
განგა,,,,,1,,,,,
განდაბ,,,,,,,,,1,
განდაფ,,2,,1,1,6,2,,1,2
განირა,1,4,1,3,,1,,3,2,
განურა,,,,1,,,,,,
განფირა,,,,,,,,,,1
გაჟიმურადი,,,,,,,1,,,
გარა,1,1,4,1,1,,,1,,1
გარაგილა,,,,,,,,,1,1
გარაი,,,,,,,1,,,
გარანფილ,,,,,1,,1,,,
გარახან,,,,1,,1,1,,,
გარაჯა,,,1,1,,,,,,
გარეგინ,2,3,3,3,1,1,1,,1,
გარი,2,1,1,2,1,1,2,2,5,1
გარიბ,2,1,1,1,,,1,1,2,2
გარიბა,,,,,,,,,1,1
გარიგენ,,1,,,,,,,,
გარიკ,15,16,14,12,11,6,8,3,8,7
გარიკა,2,,,,,,,,,
გარიმ,,1,,,,,,,,
გარნიკ,1,3,3,1,1,3,,,1,1
გარნუკ,1,,,,,,1,,,
გარნუშ,,,,,,1,,,,1
გარრი,2,,1,2,,2,2,1,,3
გარსევანი,,,,,,,,,1,
გარსო,1,,,,,,,,,
გარუშ,,,1,,,,,,1,
გასან,1,1,4,3,3,3,3,1,1,1
გასან ალი,,,,,,,1,,,
გასანხან,,,,1,,,,,,
გასიმ,1,,,,,2,,1,1,
გასპარ,,,,,1,,,,,
გასუმ,,1,,1,,1,,1,2,
გაფარ,,,,1,,,,,1,
გაფას,,,,,,1,,,,
გაფი,,,,1,,,,,,
გაშამ,,,,,1,1,1,,,
გაშამშამ,,,,1,,,,,,
გაჩარ,,,,,,,,,,1
გახა,1,,,,,,,,,1
გახო,,,,,1,,,,,
გახრამან,,,,,,,,1,1,
გაჯი,2,1,1,,2,,2,,,
გაჯიმურად,,,,,,,,,1,
გაჯიმურადი,,,,1,,,,,,
გაჯიმურატ,,,,1,,,,,,
გაჯიქერიმ,,,,,,,,1,,
გეაფატ,,,,,,,,,1,
გებენ,,1,,,,,,,,
გები,,,,,,,,,,1
გეგა,31,62,207,323,261,208,268,201,178,156
გეგა  გალაქტიონ,,,,,,1,,,,
გეგა  დავით,,,,,,,1,,,
გეგა დემეტრე,,,,,1,,,,,
გეგა დომინიკ,,,,,,1,,,,
გეგე,,,2,1,,,1,,,1
გეგი,13,23,23,15,15,6,11,15,21,25
გედა,,,1,,,,,,,
გედევან,,,1,,,,,,,
გედევანი,1,,1,,,,,,,
გედეონი-გეგი,,,,1,,,,,,
გედრათი,1,,,,,,,,,
გევორ,,,1,,,,,,1,
გევორგ,8,10,5,4,9,13,5,2,5,10
გევორკ,,,,1,1,,1,1,1,
გევორქ,1,5,2,4,,3,,4,4,
გეიდარ,,,,,1,,,1,,
გეიმათ,,1,,,,,,,,
გეიმატ,,1,,1,,,,,1,
გეირათ,,,,,,,,,,1
გელა,72,55,52,57,57,57,54,38,31,19
გელა   გაბრიელი,,,,,,,,1,,
გელა გაბრიელი,,,,,1,,,,,
გელიკა,,,,,,1,,,,
გელოდი,4,,2,1,1,,,1,1,
გელუკა,,,,,1,,1,,1,
გენა,3,1,,,,,,,1,
გენად,,,,,1,1,,,,
გენადი,8,10,11,15,8,10,11,6,6,6
გენდრი,,,1,,,,,,,
გენკა,,,,1,,,,,,
გენნადი,1,,,,,,,,,1
გენო,2,1,4,2,,2,3,2,4,4
გენრი,2,,1,,,1,,,1,
გენრი  იოანე,,,,,,,,1,,
გენრიეტა,1,,1,,,,,,,
გენრიკ,,,,,,1,,,,
გენრიხ,,,,,,,1,,,
გენული,1,,,,,,,,,
გენური,,1,,,,,,,,
გენჯაი,1,,,,,,,,,
გეორგი,3,2,2,2,4,2,1,4,1,3
გეორგია აგაპი,,,,,,,,1,,
გეორგიოს,,,,1,,1,2,,1,
გეორეტტ მალომალამ,,,,,,,,,1,
გერა,,,,1,,,,,,
გერაი,1,,,,,,,,,
გერასიმ,,,1,,,,,,,
გერასიმე,,,1,1,1,,1,,1,
გერგი,1,,,,,,,,,
გერდა,1,,,1,,,,,,
გერვანდი,,,1,,,,,,,
გერვასი,,,,,,,,1,,
გერკულეს,,,,,,,,,,1
გერმან,1,1,,,,1,,,,
გერმანე,,1,,,,,,,,
გერმოგენი,,,1,,,,,,,
გერონტი,,,,3,1,1,,1,,
გეფფენ ტზიპორა,,,,,,,,,1,
გეღამ,,1,,1,1,,,,,
გეღეციკ,2,,1,,1,1,,,,
გვადალუპე,,1,,,,,,,,
გვანცა,262,276,223,208,215,199,192,145,134,109
გვანცა – იპეკ,,1,,,,,,,,
გვანცა-მარიამი,,1,,,,,,,,
გია,49,55,46,53,51,45,38,37,21,27
გია გიორგი,,,,,,,,,1,
გია ლუკა,,,,,1,,,,,
გიაზი,,,,,,,,1,,
გიაკო,1,,,,,,1,,,
გიალო,,,,1,2,,,,,
გიამი,,,,1,,,,,,
გიას,3,1,2,4,2,2,2,1,,
გიაფათ,,,,,1,,,,1,
გიაფატ,,1,,,,,,,,
გიგა,188,189,151,146,124,107,90,89,74,49
გიგა ედვარდ,,,,,1,,,,,
გიგანტი,1,,,,,,1,,,
გიგი,159,177,195,160,147,146,113,113,93,81
გიგი გიორგი,,,,,,,,,1,
გიგია,1,,,1,,,1,,,
გიგიშა,1,,,,,1,,,,
გიგლა,6,6,7,4,4,7,3,5,3,1
გიგო,,3,,1,1,1,1,,,
გიგუშა,,,1,,,,,,,
გიგუჩა,,,,,,,1,,,
გივი,46,55,59,54,46,36,29,37,22,15
გივი გიორგი,,,1,,,,,,,
გივი–გიგი,1,,,,,,,,,
გივიკო,8,8,16,8,12,11,8,10,6,3
გივორქ,,,1,,,,,,,
გიზბესტი,,,,,,1,,,,
გიზგოზი,,1,,,,,,,,
გიზდაგულ,,,1,,,,,,,
გიზდარხან,,,,,1,,,,,
გიზეთარ,,,,,,,,,1,
გიზეითარ,1,,1,,,,,,,
გიზემ,,,,,,,,,,1
გიზი,1,,,,,,,,,
გიზილ,,1,,,,,,,,
გიზილგულ,,1,,,,,,,,1
გიზო,5,7,3,7,8,3,2,2,3,1
გიზოლინა,,,,,,,,1,,
გიზხანიმ,,,1,,,,,,,
გიზხანუმ,,1,,,1,,,,,1
გიიმატ,1,,,,,,,,,
გიკა,1,,,1,,,,2,,1
გიკო,,,,,,,,,1,
გილ,,,,,,,1,,,
გილა,,,,,,,,1,,
გილად,,,,,,,,,,1
გილანარი,,,,,,,1,,,
გილი,,,,,,,,,,2
გილიან,,,,,,,,1,,
გილმათ,,,,,,,,,1,
გილშერი,1,,,,,,,,,
გიმათ,,2,2,2,,,,,,1
გიმზერი,,,,,,,,1,,
გიმიკ,,,,,,,,,1,
გინავარდ,,,,,,,1,,,
გინევარდ,1,,,,,,1,,,
გინეტა,,,,,,1,,,,
გინიაზ,,,,,,,,1,,
გიო,3,1,8,7,5,8,4,2,6,4
გიოვხერ,,,,,,,1,,,
გიოზალ,1,,,,,,,,,
გიორგი,3552,3844,3629,3385,3012,2856,2717,2545,2168,1816
გიორგი   ლუკა,,,,,,,1,,,
გიორგი  ლაილ,,,,,,1,,,,
გიორგი – ლუკა,1,,,,,,,,,
გიორგი  ნიკოლოზ,,1,,,,,,,,
გიორგი ადამ,,,,,,,,,1,
გიორგი არჩილი,1,,,,,,,,,
გიორგი ასლან,,,,,,,1,,,
გიორგი გაბრიელი,,,,,,,1,,,
გიორგი გაგი,,,,,,,,,,1
გიორგი გეგა,,,,,,,,,,2
გიორგი გელა,,,1,,,,,,,
გიორგი გივი,,,,,1,,,,,
გიორგი გური,,,,,,,,,1,
გიორგი დავით,,,,,1,,,,,
გიორგი დანიელი,,,,,,,,,1,
გიორგი დეივ,,,,,,,,,1,
გიორგი დემეტრე,,,,1,,,,,,
გიორგი ერენ,,,,,,,,,,1
გიორგი ვასილი,,,,,,,,,,1
გიორგი ზაალი,,,,1,,,,,,
გიორგი ზურა,,,,,,,,,1,
გიორგი ზურაბი,,,,,,,1,,,
გიორგი თაზო,,,,,1,,,,,
გიორგი ირაკლი,1,,,,,,,,,
გიორგი კონსტანტინე,1,,,,1,1,,,,
გიორგი ლაზარე,,,,,,,,,1,
გიორგი მაქსიმე,,,,,,1,,,,
გიორგი მეჰმეთ,,,,,,,1,,,
გიორგი ნიკოლოზი,,,,,,,,,1,
გიორგი სერაფიმე,,,,,,,,1,,
გიორგი სინგჰ,,,,,1,,,,,
გიორგი ტიტე,,,,,,,,,1,
გიორგი უმცროსი,,,,,1,,,,,
გიორგი ფილიპე,1,,,,,,,,,
გიორგი ჯარჯი,,,,,,,,,,1
გიორგი ჯოზეფ,,,,,,,1,,,
გიორგია,,,,,,,,1,,
გიორგი–ბადრი,1,,,,,,,,,
გიორგი-გეგა,,1,,,,,,,,
გიორგი-გიგი,,,,,1,,,,,
გიორგი–გუგა,1,,,,,,,,,
გიორგი-დემეტრე,,,,,,,,,,1
გიორგი–ლუკა,,1,,,,,,,,
გიორგიოს,,,1,,,,,,,
გიორგის,,,,,1,,,,,
გიორგი–სოლომონი,1,,,,,,,,,
გიორგი–სპირიდონი,1,,,,,,,,,
გიორგი–უმცროსი,1,,,,,,,,,
გიორგო,,,,,,,1,,,
გიორსცილია აკვიაგვაჰ,,,,,,,,,1,
გირაი თომა,,,,,,,,,,1
გირშელი,,,,,,,,,,1
გისანე,,,,,,1,,,,
გისმათ,1,,1,,1,1,,,1,
გისმატ,2,,,,,1,,,,
გისმეთ,,,,,1,,1,,,
გისხანიმ,1,,,,,,,,,
გიტა,2,1,,,,,,,,1
გიტიტ,,,,,,,,,,2
გიტო,,,1,,,,,,,
გიულაი,6,3,5,6,6,2,6,5,,5
გიულაია,,,1,,,,,,,
გიულამბარ,,,,,,1,,,1,
გიულან,1,,,,,,,,,
გიულანა,,,,,1,,,,,
გიულანაზ,,,,,,,,,,1
გიულანდამ,1,,,,,,,,,
გიულარ,2,,1,,1,2,1,2,1,2
გიულარა,,,1,,,,1,,,
გიულარი,1,,,,,,,,,
გიულასარ,1,,,,1,,,1,,
გიულასკარ,1,,,,,,,,,
გიულაფარიმ,,,,,,,,1,,
გიულბადამ,,,,,,,,,,1
გიულბაიაზ,,,,,,,,,1,
გიულბახარ,,1,,,,,,,,
გიულბაჰარ,,,,,,,,1,,1
გიულგაზ,1,,,,,,,,,
გიულდარან,,,1,,,,,1,,
გიულვარდ,,,,,,,2,,,
გიულზადა,2,,,,,,,,,
გიულზადე,,1,,,,,,,,
გიულთან,,,,1,,,,,,
გიულთაქინ,,,,,,,,,1,
გიულთაჩ,,,,,,,1,,,
გიულთაჯ,,,1,,1,,,,,
გიულთენ,,,,1,,,,,,
გიული,5,5,2,,4,,2,2,,
გიულია,,1,,,,,,,,
გიულიაზ,,,2,,,,,,,
გიულიამბარ,,,,,,1,,,,
გიულიანახ,,,,1,,,,,,
გიულლარ,,,,,,1,,1,,
გიულლი,,,,1,,,,,,1
გიულლუ,1,,,1,1,1,,,1,1
გიულმაია,,,,,,,,,,1
გიულმამედ,1,,,,,,,,,
გიულმინა,,,2,,,,,,,
გიულმირა,1,,,,,,,1,,
გიულნაზ,1,,,,1,1,,,1,1
გიულნარ,,1,2,1,,,,,,
გიულნარა,1,4,1,1,1,1,3,,2,2
გიულნურ,,,,,,,1,1,1,
გიულნურა,,1,,,,,,,,
გიულსადა,,,,,,1,,,,
გიულსანამ,,,,,,,,1,,
გიულსარა,,,,,1,,,,,
გიულსარან,,,,,,,,,,1
გიულსაფა,,1,3,,1,,,,,
გიულსტან,,,,,,1,,,,
გიულსუმ,2,,2,2,,1,1,,,
გიულტაკინ,,,,,,,1,,,
გიულუ,1,1,,,,,,2,,
გიულუზარ,,,2,,,,,,1,3
გიულუსთან,,,,1,,,,,,
გიულუსტან,1,1,,,,1,,,,
გიულფარი,,,1,,,,1,,,
გიულფერი ნურანა,,,,,,,1,,,
გიულშან,4,2,3,1,1,,1,,2,1
გიულშანა,1,,,,,,1,,,
გიულშახარ,,,,,,,1,,,
გიულჩინ,2,,2,2,,1,,,,1
გიულჩიჩაკ,,,1,,,,,,,
გიულხაიატ,,1,,,,,,,,
გიულხანიმ,,,,,1,,,,,
გიულხანუმ,1,1,,,,,,2,1,1
გიულჯამალ,,,1,,,1,,,,
გიულჯან,,,,,,,,1,,
გიულჯახან,,,,,,,1,,,
გიუნაი,8,6,2,1,6,5,,5,2,2
გიუნაშ,,,,,1,,2,1,,2
გიუნდუზ,,,,1,,,,,,
გიუნეი,,,1,,,,,,,
გიუნელ,3,7,4,1,,4,1,2,3,1
გიუნეშ,,,,,,2,,1,,1
გიუნეშ ილაიდა,,,,,,1,,,,
გიურიკ,,1,,,,,,,,
გიუსარ,1,,,,,,,,,
გიუსელ,,,,,,1,,,,
გლახო,2,,1,,,,,,,1
გლახუნა,1,,,1,,,,,,
გლებ,1,,,,,,1,2,1,1
გლორია,,,1,1,,,,1,,
გნელ,,,,,2,,,,,
გნუნი,1,,,,,,,,,
გოარ,,1,,,,,2,,1,
გოარიკ,1,1,,,,,,,1,
გობრონ,1,,,,1,,,,,
გობრონი,1,,,,,,,,,
გოგა,110,113,124,81,83,79,68,64,50,55
გოგა ლუკიანე,,,,,,,,1,,
გოგა–ანდრია,,1,,,,,,,,
გოგი,9,18,8,8,13,4,7,8,5,7
გოგია,,,,,,,2,,,
გოგილი,,1,,,,,,,,
გოგილო,,,,,,,,,1,
გოგიტა,18,23,17,12,19,12,10,7,6,1
გოგიჩა,,1,,,,,1,,,
გოგლა,,1,,,2,2,,,,2
გოგლიკა,1,,,1,,,,,,
გოგოზ,,,,,,,,,1,
გოგოლა,,2,,,,,,1,2,1
გოგუცა,1,,,,,,,,1,
გოდერძი,14,9,7,5,12,7,10,11,5,3
გოდუნა,,,,,1,,,,,
გოვხარ,,,,,,,1,,,
გოზალ,2,3,2,5,1,3,3,2,2,1
გოზალა,1,1,,,,,,,,
გოზელ,,,,,,,,,,1
გოილუსტან,,,,,,,1,,,
გოირგი,1,,,,,,1,1,,
გოიჩაგ,,,,,1,,,,,
გოიჩაი,,1,,,,,,,1,
გოიჩაკ,3,,2,,,,1,1,1,3
გოიჩაქ,1,,1,2,,,,1,1,
გოიჩეკ,,,,,,1,,,,
გოიჩექ,,1,,,,,,,,
გოიცაკ,,,,,,,,,1,
გოიჯა,1,,,,,,,,,
გოლა,,,,1,,,,,,
გონა,,,,1,,,,,,
გონელი,1,,,1,1,,,,,
გონერი,,2,,1,1,,,,,
გონი,,,,,,,,1,,1
გონულ,,,,,,1,,,,
გონჩა,,1,,1,2,1,1,1,,
გონცა,,,,,,,,,,1
გოპალი,,1,,,,,,,,
გორ,4,13,19,13,22,19,25,12,23,13
გორდა,,,,,,,1,,,
გორქან,,,,,1,,,,,
გორქემ,,,,1,,,,,,
გოქან,,,,,1,,1,,,1
გოქორ,,2,,,,,,,1,
გოქჩე,,,,,,,,1,,
გოქჰან,,,,,,1,,,,
გოქჰან გიორგი,,,,,,1,,,,
გოშგარ,,,,1,,,1,,,
გოშდან,,,,,,,,1,,
გოშკარ,,1,,,,,,,1,
გოშუ,,,,,1,,,,,
გოჩა,63,66,57,73,68,50,58,61,49,35
გოჩა ნიკუშა,,1,,,,,,,,
გოჩა-ერეკლე,,,,1,,,,,,
გოჩიკო,,,,,,,1,,,
გოხარ,,,,1,,1,3,1,,
გოჯა,1,,,,,,,1,,2
გოჰარ,7,4,7,6,5,7,10,5,8,7
გოჰარიკ,1,1,2,1,2,1,,3,2,1
გრამიტონ,,,,,1,,,,,
გრამიტონი,,,,,,,,1,,
გრანტ,,,,,,1,,1,,
გრაჩ,,,,,,,,,1,
გრეგორი,,,,,,2,,,,
გრეის,,,,,1,,,1,,
გრეის აგნეს,,,,,,,1,,,
გრეტა,2,,1,,,2,,1,1,
გრეტა ელლინორ,,,,,,,,1,,
გრიგოლ,7,9,20,8,8,8,9,2,6,2
გრიგოლეტა,,,,1,,,,,,
გრიგოლი,7,8,6,9,6,5,5,7,7,2
გრიგორ,11,7,8,4,5,6,7,3,10,6
გრიგორი,6,4,2,6,8,7,8,4,4,5
გრიქორ არშავირ,,,,,,,,1,,
გრიშა,2,1,4,2,5,2,6,6,3,3
გრიშიკ,,,,,,,,,1,
გრუნია,,1,,,,,,,,
გუარ,1,,,,,,,,,
გუარიკ,,,,,1,,,,,
გუბაზ,1,1,,,,1,,,,
გუბაზი,,1,2,,1,,,,,
გუგა,105,81,100,80,108,94,92,103,64,77
გუგა  გურამი,,,,,,,,,,1
გუგა გულადი,,,,,,,,1,,
გუგა ლუკა,,,,,,,,,,1
გუგა მერთ,,,,,,,1,,,
გუგარ,,,,,,,,1,,
გუგა–რემბო,,,,1,,,,,,
გუგო,,,,,,,1,,,
გუგუა,,,,,,,,1,,1
გუგულა,1,2,,,,,1,,,
გუგული,,,,,,,1,,,
გუგუშ,,,,1,,,,,,
გუდრათ,,2,,1,,,3,1,2,1
გუიჩექ,,,,,,1,,,,
გუკა,7,4,11,6,5,7,8,11,11,16
გუკა გიორგი,,,,,1,,,,,
გუკა ნიკოლოზი,,,,,,1,,,,
გუკა ქაან,,,,,,,,,,1
გუკას,,,,1,,,,,,
გულა,1,,1,,,,,,,
გულაბათინ,,1,,,,,,,,
გულაბანზარ,1,1,,,,,,,,
გულაბი,,,,,2,,,,,
გულადდინ,,,,,,,,,,1
გულადი,3,4,3,1,2,1,1,3,,
გულავათინ,1,,,1,1,1,,,,
გულავათნ,,,,1,,,,,,
გულავატნ,,1,,,,,,,,
გულავიზ,,,,,,,,1,,
გულაი,4,11,7,6,11,17,13,16,9,11
გულაია,,,,1,,,,2,,
გულაიათ,2,,,,1,,1,,,
გულამ,,,,,1,,,,,
გულამბარ,,1,,,,,,,,
გულამრზა,,,,1,,,,,,
გულანა,1,1,2,,,,,,1,
გულანაზ,,,,,,,,1,,
გულანგუსეინ,,1,,,,,,,,
გულანდამ,1,1,1,2,2,,,1,,
გულარ,1,2,3,2,2,3,2,3,4,2
გულარა,2,1,1,1,2,,1,1,,1
გულასარ,1,,5,1,,1,2,1,,2
გულასი,,,,1,,,,,,
გულაფარიმ,,1,,,,,,,,
გულახანუმ,,,,1,,,,,,
გულახმათ,,,,,,1,,,,
გულახმედ,,1,,,1,,,,,
გულბადამ,,1,,,,,,,,
გულბაიაზ,1,1,1,,,,,,,
გულბანი,,,1,,,,,,,
გულბანიზ,,,1,,,,,2,,
გულბას,,,,,,,1,,,
გულბასდი,,,,,,,,1,,
გულბასტი,,,,,,,,,1,
გულბახარ,,,,,2,1,,,,
გულბაჰარ,,,,,,,,,,1
გულბეიაზ,,,,,,,,1,,
გულგაზ,1,,,,1,2,,,1,
გულგეზ,,,,,,,1,,,
გულგუნ,,1,,,,,,,,
გულდანე,,,,,,1,,,,
გულდარან,,1,1,2,,1,,1,,
გულდასდა,,,,,,,,,,1
გულერ,,,,,1,,,,,1
გულვარდი,,,,,1,,,,,
გულვერი,,1,,,,,,1,,
გულზადა,1,,1,1,,,1,,,
გულზარ,1,,,,,,,,,
გულთამზე,1,,,1,,,,,,
გულთან,,,,,1,1,,1,,
გულთაქინ,1,,,1,,,,,1,
გულთაჩინ,,,1,,,,,,,
გულთაც,,,,,,,1,,,
გულთაჯ,,1,,1,,,1,,,
გული,,,,1,,,,1,1,
გულია,,,3,,,,,,,
გულიაზ,1,2,2,2,1,,3,,1,1
გულიანაკ,,1,,,,,,,,
გულივერ,,1,,,,,,,,
გულივერი,1,,,,,,,,,
გულიზარ,1,,1,,,,,,1,
გულიზარი,,,,,,,1,,,
გულიკო,8,3,2,6,1,1,1,2,,
გულიმბეკ,,,,,,,,,,1
გულიმნაზ,,,,,,,,,,1
გულინა,,,,,,,1,,,
გულისა,1,1,1,,,,,,,
გულისტან,,1,,2,,,,,,
გულლარ,,,,,,,,,,1
გულლი,,,,,,1,,,,
გულლიზარ,,,,,,,,,,1
გულლუ,,2,3,1,1,2,5,2,4,1
გულლუზარ,,1,,,,,,,,1
გულმალი,,,,,,1,,,,
გულმამათ,,,1,,,,,,,
გულმამედ,,,,1,,,,,1,
გულმაღა,,,1,,,,,,,
გულმინაზ,,,,,,1,,,,
გულმირა,,,1,1,,,1,1,,
გულნაზ,2,1,4,1,4,2,3,,,6
გულნაზა,,,,,,1,,,,
გულნაზი,2,2,2,2,1,2,2,4,1,
გულნარ,1,3,1,3,,,1,,,2
გულნარა,7,10,10,3,12,6,3,4,6,2
გულნარა ნინო,,,,1,,,,,,
გულნარი,,,,,3,,,,,
გულნურ,1,,,1,,,,1,1,
გულნურა,,,1,,,,,,,
გულო,2,2,2,,2,1,,3,,
გულსან,,,,,,,,1,,
გულსანამ,,,1,,1,,1,,,2
გულსარა,1,,1,,,,,,,
გულსაფა,,,1,,,,1,2,,
გულსაჰარ,,,,,,,,,,1
გულსელ,,,1,,,,,,,
გულსუმ,3,1,,,,1,3,4,,
გულსუნ,1,,,,,,1,,,
გულუ,,3,1,2,1,1,,2,,
გულუზარ,1,3,,2,1,,,,3,
გულუმ,,,,1,,,,,,
გულუმნაზ,,,,,,,,,1,
გულუმსარ,1,,,,,,,,,
გულუმჯან,,1,,,,,,,,
გულუსტან,3,,1,,1,,,1,,
გულუშ,,1,,,,,1,1,,
გულფათ,,,,,,,,,1,
გულფამ,,,,,,1,,,,
გულფარ,,,,,,,,,,1
გულფარა,,,,,1,,,,,
გულფარი,,2,,1,,1,,2,,
გულფემ,,,,,1,,,,,
გულფენ,,,,1,,,,,,
გულფერი,,1,,,,,,,,
გულფირა,,,,,1,,,,,
გულშად,,,1,,,,,,,
გულშან,3,4,2,3,1,4,7,3,4,5
გულშენ,1,,,,,,,1,,
გულჩალი,1,,,,,,,,,
გულჩან,,,,,1,,,,,
გულჩინ,4,2,4,,,2,,,1,2
გულჩიჩაკ,,,,,,1,1,,,1
გულჩიჩაქ,1,,,,,1,1,,,
გულცინ,,1,1,,,,,,,
გულხავა,,,,,,,,,1,
გულხანი,,,,,,,1,,,
გულხანიმ,,,,,,,,,,1
გულხანუმ,,2,1,,1,1,1,,,
გულხარ,,,,,,,,1,,
გულჯამალ,1,,,,,,1,,1,
გულჯან,2,5,,1,2,,1,2,1,1
გულჯახან,1,,1,2,,1,,,,
გულჯაჰან,,,1,,,,,,,
გულჯე ელგიზ,,,,,,,1,,,
გულჯინ,,,1,,,,,,,
გულჰავა,,,,,1,,,,,
გუმა,,,,,,,,,,1
გუმაშ,,,1,,,,,,,
გუმბათ,,6,3,2,1,2,3,1,4,
გუმრახ,,1,,,,2,,,,
გუმრუ,,,,2,,,,,,
გუმუ,,,,,,,1,,,
გუმუშ,,1,,,2,1,,,,
გუნაზ,,,,,,,1,,,
გუნაი,9,10,8,4,16,7,10,4,6,2
გუნაია,,,,,,,1,,,
გუნაშ,2,1,1,5,2,,4,2,4,4
გუნაში,,1,,,,,,,,
გუნბათ,,,,,,,,,,1
გუნდიპ კოორ,,,,1,,,,,,
გუნდუზ,,,1,1,,,,,,
გუნეი,,,,,,,,,2,
გუნეილ,,,,,,,1,,,
გუნელ,6,15,6,7,4,4,3,6,,5
გუნელა,1,1,1,,,,,,,
გუნერ,,,,,1,,,,,
გუნეშ,,,,,1,,1,4,,2
გუნეშ მარინე,,,,,,,,,,1
გუნნარ,,,,,,,,,,1
გუნჩა,1,,,,,,,,,
გუნჯამალ,,,,1,,,,,,
გურამ,89,90,78,52,69,48,49,38,27,18
გურამი,115,70,104,73,76,70,64,48,44,41
გურამი დავითი,1,,,,,,,,,
გურამი ლევანი,,,1,,,,,,,
გურამი–ალექსანდრე,,1,,,,,,,,
გურამი–გუგა,1,,,,,,,,,
გურამიკო,,,2,2,,1,2,,1,1
გურამ-რიადავოი,,,,,,,,,,1
გურანდა,5,7,4,7,3,5,,1,2,
გურანდუხტი,,1,,,,,,,,
გურბან,2,3,4,2,1,3,,1,5,2
გურგენ,4,2,4,2,4,2,3,4,2,4
გურგენი,,1,,,,,,,,
გურვან,,,1,,,,,1,,
გურვანჯან,,,,1,,,,,,
გურზათ,,1,,,,,,,,
გური,1,4,2,8,4,8,2,4,2,1
გურიათ,,,,,,1,,,,
გურიახ,1,,,,,,,,,
გურიელ,,,,,,,,,,1
გურიელი,1,,,,,,,,,
გურიკა,2,3,3,2,1,1,6,1,1,1
გურიკო,,1,,,,1,,,1,
გურო,,,,,,,,,,1
გურფატებირ სინგჰ,,,,,,,,,,1
გურქან გიორგი,,,1,,,,,,,
გურშან სინგჰ,,,,1,,,,,,
გურჯან,,,,,,1,,,,
გურჯი,,,,,,,2,,,
გუსეინ,20,9,10,11,10,10,6,5,4,2
გუსეინალი,,,,1,,,,,,
გუსეინგულუ,,,,,,1,,,,
გუსეინრზა,,,,,,,,1,,
გუსტას,,,,,,,,1,,
გუშნარ,,,1,,,,,,,
გუძა,,,1,,,,,,,
გუხარ,,,,,,2,,,,
გუჯა,8,20,14,7,13,8,12,6,8,11
